"","struct_idx","frequency","path_id","sequence_id","wavevector_x","wavevector_y","eig_idx"
"374270",10,1640,2,5,2.35167932385023,2.95309709437441,5
"374271",10,1640,2,6,2.33757793653105,2.89026524130261,5
"374272",10,1640,2,7,2.32392459112936,2.82743338823081,5
"374273",10,1640,2,8,2.3106932951807,2.76460153515902,5
"374274",10,1640,2,9,2.29788040671531,2.70176968208722,5
"374275",10,1640,2,10,2.2855164387002,2.63893782901543,5
"374276",10,1640,2,11,2.27369096900429,2.57610597594363,5
"374277",10,1640,2,12,2.2626065493662,2.51327412287183,5
"374278",10,1640,2,13,2.26194671058465,2.5082960662696,5
"374279",10,1640,2,14,2.25207795948852,2.45044226980004,5
"374280",10,1640,2,15,2.2449501750636,2.38761041672824,5
"374281",10,1640,2,16,2.24375707406401,2.32477856365645,5
"374282",10,1640,2,17,2.25469174537026,2.26194671058465,5
"374283",10,1640,2,18,2.26194671058465,2.24702513230054,5
"374284",10,1640,2,19,2.33168503312645,2.19911485751286,5
"374285",10,1640,2,20,2.38761041672824,2.18711264105762,5
"374286",10,1640,2,21,2.51327412287183,2.18295016157022,5
"374287",10,1640,2,22,2.63893782901543,2.17429407038443,5
"374288",10,1640,2,23,2.76460153515902,2.14869904680832,5
"374289",10,1640,2,24,2.7953634335021,2.13628300444106,5
"374290",10,1640,2,25,2.89026524130261,2.10245546699168,5
"374291",10,1640,2,26,2.94834734173917,2.07345115136926,5
"374292",10,1640,2,27,3.0159289474462,2.03996363146923,5
"374293",10,1640,2,28,3.07459164167789,2.01061929829747,5
"374294",10,1640,2,29,3.14159265358979,1.9747113522351,5
"374295",10,1640,3,1,1.63362817986669,1.58392704948716,5
"374296",10,1640,3,2,1.59018184405831,1.5707963267949,5
"374297",10,1640,3,3,1.5079644737231,1.5516895977886,5
"374298",10,1640,3,4,1.41119004705075,1.5079644737231,5
"374299",10,1640,3,5,1.38230076757951,1.49567117507831,5
"374300",10,1640,3,6,1.28183571130748,1.4451326206513,5
"374301",10,1640,3,7,1.25663706143592,1.43097407026806,5
"374302",10,1640,3,8,1.15860257330096,1.38230076757951,5
"374303",10,1640,3,9,1.13097335529233,1.36348993007666,5
"374304",10,1640,3,10,1.0279910796422,1.31946891450771,5
"374305",10,1640,3,11,1.00530964914873,1.29963675416411,5
"374306",10,1640,3,12,0.879645943005142,1.27559995080497,5
"374307",10,1640,3,13,0.802730511082045,1.31946891450771,5
"374308",10,1640,3,14,0.75398223686155,1.33497177023368,5
"374309",10,1640,3,15,0.652806292861352,1.38230076757951,5
"374310",10,1640,3,16,0.628318530717959,1.39093498839397,5
"374311",10,1640,3,17,0.502654824574367,1.4054502042356,5
"374312",10,1640,3,18,0.463051255218221,1.38230076757951,5
"374313",10,1640,3,19,0.410433612340512,1.31946891450771,5
