"","iElectron","t","ix","iy","iz"
"245",128,3.769904e-12,198,198,7
"246",129,3.772361e-12,95,155,24
"247",129,3.779729e-12,91,155,26
"248",129,3.806543e-12,92,155,26
"249",132,3.828417e-12,132,130,4
"250",129,3.848795e-12,95,155,26
"251",130,3.944876e-12,242,107,8
"252",129,3.95655e-12,95,156,25
"253",129,4.000535e-12,95,155,26
"254",142,4.002303e-12,169,188,23
"255",139,4.002684e-12,112,21,20
"256",129,4.007217e-12,95,155,29
"257",142,4.042026e-12,170,189,23
"258",128,4.049685e-12,197,200,8
"259",128,4.052645e-12,196,201,9
"260",129,4.071692e-12,94,154,28
"261",134,4.074437e-12,144,140,7
"262",129,4.088274e-12,92,151,28
"263",132,4.090687e-12,134,128,3
"264",131,4.107084e-12,112,12,20
"265",130,4.109073e-12,241,108,8
"266",132,4.133959e-12,132,127,3
"267",139,4.314038e-12,111,23,19
"268",132,4.363656e-12,130,131,3
"269",133,4.369224e-12,220,56,19
"270",129,4.405232e-12,92,152,29
"271",132,4.410656e-12,131,128,4
"272",129,4.42837e-12,92,149,30
"273",129,4.467136e-12,93,148,32
"274",130,4.483418e-12,243,107,9
"275",129,4.493904e-12,93,149,33
"276",129,4.52419e-12,92,148,34
"277",133,4.528021e-12,218,59,21
"278",129,4.529265e-12,91,147,34
"279",142,4.541585e-12,171,191,22
"280",129,4.604548e-12,93,147,34
"281",128,4.622955e-12,198,203,10
"282",129,4.647961e-12,93,145,34
"283",132,4.700673e-12,130,128,4
"284",136,4.770453e-12,104,93,17
"285",142,4.797882e-12,170,191,22
"286",129,4.85484e-12,93,147,34
"287",132,4.858966e-12,130,129,3
"288",132,4.873463e-12,130,128,2
"289",133,4.886075e-12,220,58,23
"290",133,4.911727e-12,218,58,24
"291",132,4.91382e-12,130,131,4
"292",129,4.934883e-12,92,149,36
"293",142,4.95268e-12,170,189,23
"294",130,4.961651e-12,242,108,8
"295",131,4.978685e-12,112,13,24
"296",136,4.993741e-12,104,92,17
"297",141,5.033313e-12,60,85,18
"298",129,5.063928e-12,92,147,38
"299",142,5.098451e-12,168,190,23
"300",136,5.137784e-12,103,88,18
"301",142,5.144326e-12,168,188,23
"302",132,5.15541e-12,130,130,2
"303",132,5.160249e-12,131,130,2
"304",133,5.18291e-12,217,58,24
"305",129,5.184272e-12,92,150,39
"306",135,5.222527e-12,78,101,3
"307",129,5.22895e-12,92,151,40
"308",131,5.276211e-12,113,16,26
"309",132,5.322984e-12,131,131,2
"310",132,5.331965e-12,129,129,3
"311",131,5.333719e-12,112,15,29
"312",133,5.375056e-12,216,62,26
"313",129,5.384462e-12,93,153,40
"314",136,5.408305e-12,103,89,18
"315",131,5.447332e-12,112,15,30
"316",132,5.44968e-12,132,127,3
"317",136,5.47869e-12,102,88,18
"318",135,5.516357e-12,79,100,2
"319",131,5.537896e-12,111,16,32
"320",132,5.548391e-12,134,127,2
"321",128,5.573762e-12,198,204,10
"322",132,5.576405e-12,136,129,2
"323",131,5.614094e-12,111,17,31
"324",132,5.663908e-12,134,130,2
"325",131,5.679425e-12,110,17,33
"326",133,5.681773e-12,217,59,27
"327",129,5.682893e-12,97,152,40
"328",132,5.685733e-12,133,129,5
"329",128,5.693903e-12,195,204,11
"330",142,5.699308e-12,169,189,24
"331",130,5.710782e-12,240,108,9
"332",133,5.731419e-12,217,57,26
"333",135,5.807422e-12,78,102,3
"334",133,5.819206e-12,218,58,28
"335",131,5.831606e-12,109,17,33
"336",128,5.852887e-12,195,207,11
"337",136,5.855931e-12,101,88,18
"338",131,5.870825e-12,106,16,33
"339",136,5.885393e-12,99,87,17
"340",142,5.955083e-12,167,189,24
"341",133,5.987772e-12,219,57,28
"342",133,5.993734e-12,220,58,28
"343",136,5.998593e-12,98,87,19
"344",133,6.002433e-12,219,62,29
"345",136,6.038689e-12,100,87,19
"346",136,6.097022e-12,99,86,18
"347",129,6.099017e-12,97,151,40
"348",132,6.339665e-12,132,130,5
"349",129,6.344384e-12,97,149,39
"350",132,6.366205e-12,133,131,4
"351",138,6.395167e-12,36,16,17
"352",129,6.399984e-12,98,148,40
"353",129,6.420766e-12,99,146,41
"354",129,6.538562e-12,97,142,43
"355",129,6.549281e-12,96,142,43
"356",136,6.597414e-12,97,87,19
"357",138,6.609127e-12,37,13,19
"358",138,6.621974e-12,41,13,21
"359",129,6.69239e-12,97,143,46
"360",132,6.705998e-12,136,130,2
"361",129,6.789234e-12,97,142,46
"362",129,6.79639e-12,96,144,50
"363",129,6.826941e-12,97,142,54
"364",129,6.842767e-12,98,140,58
"365",138,6.852463e-12,43,13,21
"366",129,6.86113e-12,96,141,59
"367",132,6.879092e-12,134,131,3
"368",128,6.931041e-12,195,205,12
"369",138,6.932933e-12,43,10,21
"370",129,6.984099e-12,96,141,58
"371",129,6.999576e-12,96,139,59
"372",129,7.006287e-12,97,138,61
"373",133,7.044681e-12,219,62,30
"374",138,7.112943e-12,44,9,20
"375",137,7.136714e-12,189,62,5
"376",129,7.155324e-12,97,139,62
"377",133,7.157731e-12,220,63,30
"378",129,7.179087e-12,97,139,64
"379",129,7.180386e-12,99,140,67
"380",132,7.186272e-12,135,132,3
"381",129,7.224371e-12,101,143,70
"382",132,7.260985e-12,134,132,3
"383",132,7.26807e-12,131,132,3
"384",138,7.27053e-12,42,9,21
"385",132,7.274055e-12,130,131,4
"386",129,7.292038e-12,102,142,69
"387",129,7.296007e-12,102,142,68
"388",138,7.330736e-12,44,8,22
"389",136,7.481532e-12,99,89,21
"390",129,7.495857e-12,103,139,70
"391",132,7.499002e-12,130,132,4
"392",129,7.515769e-12,103,140,70
"393",129,7.590005e-12,103,138,70
"394",136,7.594616e-12,99,88,20
"395",129,7.690356e-12,103,138,71
"396",136,7.70698e-12,99,89,18
"397",129,7.770409e-12,102,139,73
"398",129,7.782618e-12,102,144,73
"399",138,7.794733e-12,44,6,23
"400",133,7.825458e-12,221,63,32
"401",135,7.83609e-12,81,101,6
"402",136,7.855866e-12,99,89,19
"403",135,7.888506e-12,83,102,6
"404",129,7.88961e-12,98,143,73
"405",129,7.902014e-12,97,143,74
"406",133,7.91929e-12,220,63,33
"407",129,7.923925e-12,98,143,75
"408",129,8.009026e-12,100,143,75
"409",129,8.022058e-12,101,143,75
"410",133,8.035188e-12,222,61,35
"411",136,8.107053e-12,99,87,19
"412",130,8.164196e-12,240,109,11
"413",138,8.208067e-12,44,8,24
"414",142,8.222463e-12,167,187,23
"415",129,8.239415e-12,100,143,75
"416",129,8.244024e-12,99,145,77
"417",136,8.257522e-12,99,90,20
"418",139,8.258966e-12,110,23,22
"419",129,8.267874e-12,100,144,77
"420",132,8.275105e-12,132,131,4
"421",135,8.280128e-12,83,101,8
"422",132,8.29049e-12,132,130,4
"423",131,8.331762e-12,104,19,34
"424",136,8.338939e-12,103,89,19
"425",142,8.383467e-12,166,187,23
"426",129,8.388098e-12,98,143,76
"427",136,8.396313e-12,102,90,20
"428",139,8.4378e-12,107,25,22
"429",132,8.461306e-12,131,129,4
"430",142,8.471698e-12,167,187,23
"431",138,8.480601e-12,45,5,25
"432",129,8.50453e-12,98,140,80
"433",135,8.524161e-12,81,103,12
"434",129,8.567827e-12,97,140,81
"435",129,8.572322e-12,96,142,82
"436",129,8.584721e-12,96,141,83
"437",128,8.591088e-12,195,207,16
"438",136,8.595983e-12,100,90,21
"439",133,8.616271e-12,224,62,34
"440",132,8.645621e-12,132,130,5
"441",138,8.661591e-12,44,2,24
"442",128,8.665684e-12,195,206,16
"443",135,8.716332e-12,84,105,14
"444",132,8.728302e-12,131,131,5
"445",135,8.772409e-12,82,106,15
"446",133,8.818657e-12,225,62,37
"447",135,8.82404e-12,84,105,16
"448",138,8.850746e-12,43,2,26
"449",128,8.869792e-12,193,204,15
"450",133,8.878044e-12,228,61,39
"451",136,8.948261e-12,101,93,21
"452",129,9.031838e-12,98,142,84
"453",129,9.038882e-12,98,143,85
"454",139,9.087943e-12,109,25,26
"455",139,9.094715e-12,112,28,27
"456",133,9.102958e-12,225,62,41
"457",138,9.115988e-12,43,3,26
"458",139,9.172923e-12,112,26,29
"459",142,9.173995e-12,169,189,24
"460",139,9.186301e-12,111,26,30
"461",142,9.228644e-12,168,189,24
"462",136,9.263777e-12,101,92,21
"463",139,9.271487e-12,113,27,30
"464",129,9.286407e-12,98,144,86
"465",135,9.335435e-12,85,107,16
"466",142,9.379511e-12,167,190,24
"467",129,9.379986e-12,99,144,86
