C11,C12,C13,C22,C23,C33
0.719291201,0.214498817,3.69E-13,0.719291201,3.73E-13,0.262656306
0.75042257,0.222413156,3.72E-13,0.75042257,3.77E-13,0.273915013
0.78203073,0.230700468,3.78E-13,0.78203073,3.84E-13,0.28507546
0.813970223,0.239359866,3.86E-13,0.813970223,3.90E-13,0.296073516
0.846037293,0.248359158,3.84E-13,0.846037293,3.92E-13,0.306838721
0.877962845,0.257630139,3.97E-13,0.877962845,3.97E-13,0.317293539
0.909410315,0.267066483,4.00E-13,0.909410315,3.95E-13,0.327352937
0.939979766,0.276524769,4.03E-13,0.939979766,4.04E-13,0.336924508
0.969218618,0.285828718,4.05E-13,0.969218618,4.06E-13,0.345909293
0.996638242,0.294776191,4.05E-13,0.996638242,4.01E-13,0.354203432
1.02173474,0.303148195,4.11E-13,1.02173474,4.06E-13,0.361700691
1.044011756,0.310719114,4.08E-13,1.044011756,4.09E-13,0.368295789
1.063003224,0.317267638,4.10E-13,1.063003224,4.17E-13,0.373888344
1.078294404,0.322588118,4.16E-13,1.078294404,4.13E-13,0.378387112
1.089539934,0.326502186,4.19E-13,1.089539934,4.20E-13,0.381714096
1.098901099,0.32967033,4.13E-13,1.098901099,4.14E-13,0.384615385
1.10E-09,3.30E-10,4.12E-22,1.10E-09,4.17E-22,3.85E-10
0.020104409,0.0001488,1.69E-14,0.020104409,1.64E-14,4.62E-06
0.030206249,0.00033381,2.48E-14,0.030206249,2.63E-14,1.11E-05
0.050486362,0.000937528,4.00E-14,0.050486362,4.05E-14,5.96E-05
0.060705173,0.001342201,4.79E-14,0.060705173,4.92E-14,8.75E-05
0.081185765,0.002402918,6.52E-14,0.081185765,6.51E-14,0.000234793
0.09153272,0.00303363,7.15E-14,0.09153272,6.84E-14,0.000303776
0.112233747,0.004563027,8.47E-14,0.112233747,8.61E-14,0.000613289
0.122719228,0.005427653,9.28E-14,0.122719228,9.42E-14,0.000747189
0.143660634,0.007439882,1.11E-13,0.143660634,1.09E-13,0.001292157
0.154295421,0.008547062,1.17E-13,0.154295421,1.17E-13,0.001519546
0.175497944,0.011057867,1.30E-13,0.175497944,1.31E-13,0.002384528
0.186293408,0.012416968,1.40E-13,0.186293408,1.39E-13,0.002739575
0.207778841,0.015443542,1.50E-13,0.207778841,1.49E-13,0.0040217
0.218747002,0.01706468,1.55E-13,0.218747002,1.57E-13,0.004544935
0.24053826,0.020625693,1.69E-13,0.24053826,1.68E-13,0.0063548
0.251691769,0.02251987,1.74E-13,0.251691769,1.75E-13,0.007093754
0.273813155,0.026635836,1.87E-13,0.273813155,1.87E-13,0.009555655
0.285165979,0.028815449,1.94E-13,0.285165979,1.90E-13,0.010565209
0.307644969,0.033509628,2.07E-13,0.307644969,2.06E-13,0.01381631
