"","struct_idx","eig_idx","wavevector_idx1","wavevector_idx2","frequency"
"21285377",1024,1,40,4,1628.09077920665
"21285378",1024,1,41,4,1628.44073962784
"21285379",1024,1,42,4,1628.75420123148
"21285380",1024,1,43,4,1629.02750745706
"21285381",1024,1,44,4,1629.25763823937
"21285382",1024,1,45,4,1629.44221588811
"21285383",1024,1,46,4,1629.57949214347
"21285384",1024,1,47,4,1629.66831912831
"21285385",1024,1,48,4,1629.70810788747
"21285386",1024,1,49,4,1629.69877904737
"21285387",1024,1,50,4,1629.64071065497
"21285388",1024,1,51,4,1629.53468828131
"21285389",1024,1,1,5,1615.79971919397
"21285390",1024,1,2,5,1615.95540757836
"21285391",1024,1,3,5,1616.12911280826
"21285392",1024,1,4,5,1616.31823186062
"21285393",1024,1,5,5,1616.51960796718
"21285394",1024,1,6,5,1616.72967459751
"21285395",1024,1,7,5,1616.9446331277
"21285396",1024,1,8,5,1617.16065718733
"21285397",1024,1,9,5,1617.3741141212
"21285398",1024,1,10,5,1617.58179144367
"21285399",1024,1,11,5,1617.78111405507
"21285400",1024,1,12,5,1617.97033682747
"21285401",1024,1,13,5,1618.14869736837
"21285402",1024,1,14,5,1618.31651555557
"21285403",1024,1,15,5,1618.47522975062
"21285404",1024,1,16,5,1618.62736411497
"21285405",1024,1,17,5,1618.77642664843
"21285406",1024,1,18,5,1618.92674284149
"21285407",1024,1,19,5,1619.08323463301
"21285408",1024,1,20,5,1619.25115827328
"21285409",1024,1,21,5,1619.43581744966
"21285410",1024,1,22,5,1619.64226950874
"21285411",1024,1,23,5,1619.87504276843
"21285412",1024,1,24,5,1620.13788177785
"21285413",1024,1,25,5,1620.43353503744
"21285414",1024,1,26,5,1620.76359630514
"21285415",1024,1,27,5,1621.12840646258
"21285416",1024,1,28,5,1621.52701838562
"21285417",1024,1,29,5,1621.95722281366
"21285418",1024,1,30,5,1622.41562929989
"21285419",1024,1,31,5,1622.89779332523
"21285420",1024,1,32,5,1623.39837879382
"21285421",1024,1,33,5,1623.91134443085
"21285422",1024,1,34,5,1624.43014294219
"21285423",1024,1,35,5,1624.94792290707
"21285424",1024,1,36,5,1625.45772495272
"21285425",1024,1,37,5,1625.95266550366
"21285426",1024,1,38,5,1626.42610307253
"21285427",1024,1,39,5,1626.87178351759
"21285428",1024,1,40,5,1627.28396187496
"21285429",1024,1,41,5,1627.65749930316
"21285430",1024,1,42,5,1627.9879344247
"21285431",1024,1,43,5,1628.27152901823
"21285432",1024,1,44,5,1628.50528870401
"21285433",1024,1,45,5,1628.68696005468
"21285434",1024,1,46,5,1628.81500648077
"21285435",1024,1,47,5,1628.88856625555
"21285436",1024,1,48,5,1628.90739705672
"21285437",1024,1,49,5,1628.87181225021
"21285438",1024,1,50,5,1628.78261463517
"21285439",1024,1,51,5,1628.64103332493
"21285440",1024,1,1,6,1612.70238836832
"21285441",1024,1,2,6,1612.88906541015
"21285442",1024,1,3,6,1613.09542636269
"21285443",1024,1,4,6,1613.31837669197
"21285444",1024,1,5,6,1613.55429131116
"21285445",1024,1,6,6,1613.79917609603
"21285446",1024,1,7,6,1614.04886295188
"21285447",1024,1,8,6,1614.29923062947
"21285448",1024,1,9,6,1614.54644078442
"21285449",1024,1,10,6,1614.78717614435
"21285450",1024,1,11,6,1615.0188655767
"21285451",1024,1,12,6,1615.23987985114
"21285452",1024,1,13,6,1615.44968236313
"21285453",1024,1,14,6,1615.64892120784
"21285454",1024,1,15,6,1615.83945265029
"21285455",1024,1,16,6,1616.02429085253
"21285456",1024,1,17,6,1616.20748413196
"21285457",1024,1,18,6,1616.3939234425
"21285458",1024,1,19,6,1616.5890936708
"21285459",1024,1,20,6,1616.79878234906
"21285460",1024,1,21,6,1617.02876327339
"21285461",1024,1,22,6,1617.28447415847
"21285462",1024,1,23,6,1617.57070778351
"21285463",1024,1,24,6,1617.89133505253
"21285464",1024,1,25,6,1618.24907601962
"21285465",1024,1,26,6,1618.64533133137
"21285466",1024,1,27,6,1619.08008198027
"21285467",1024,1,28,6,1619.55186016636
"21285468",1024,1,29,6,1620.05778896929
"21285469",1024,1,30,6,1620.593684001
"21285470",1024,1,31,6,1621.15420671109
"21285471",1024,1,32,6,1621.73305683933
"21285472",1024,1,33,6,1622.32319071065
"21285473",1024,1,34,6,1622.91705248658
"21285474",1024,1,35,6,1623.50680681637
"21285475",1024,1,36,6,1624.0845631949
"21285476",1024,1,37,6,1624.64258438069
"21285477",1024,1,38,6,1625.17347318025
"21285478",1024,1,39,6,1625.67033360163
"21285479",1024,1,40,6,1626.12690376039
"21285480",1024,1,41,6,1626.53765901954
"21285481",1024,1,42,6,1626.89788474809
"21285482",1024,1,43,6,1627.20371890428
"21285483",1024,1,44,6,1627.45216549552
"21285484",1024,1,45,6,1627.64108090996
"21285485",1024,1,46,6,1627.7691361737
"21285486",1024,1,47,6,1627.83575931628
"21285487",1024,1,48,6,1627.84106310917
"21285488",1024,1,49,6,1627.78576430705
"21285489",1024,1,50,6,1627.67110097044
"21285490",1024,1,51,6,1627.49875430343
"21285491",1024,1,1,7,1608.97749145768
"21285492",1024,1,2,7,1609.19272578961
"21285493",1024,1,3,7,1609.4301071732
"21285494",1024,1,4,7,1609.68598237262
"21285495",1024,1,5,7,1609.95618883673
"21285496",1024,1,6,7,1610.23623613144
"21285497",1024,1,7,7,1610.5215207883
"21285498",1024,1,8,7,1610.80756597116
"21285499",1024,1,9,7,1611.09027447533
"21285500",1024,1,10,7,1611.36618082914
"21285501",1024,1,11,7,1611.63268620131
"21285502",1024,1,12,7,1611.88825896076
"21285503",1024,1,13,7,1612.13258447794
"21285504",1024,1,14,7,1612.36665022711
"21285505",1024,1,15,7,1612.59275627467
"21285506",1024,1,16,7,1612.8144463793
"21285507",1024,1,17,7,1613.03636059945
"21285508",1024,1,18,7,1613.26401590707
"21285509",1024,1,19,7,1613.50352635922
"21285510",1024,1,20,7,1613.76127854964
"21285511",1024,1,21,7,1614.04358115261
"21285512",1024,1,22,7,1614.35630925203
"21285513",1024,1,23,7,1614.70456470107
"21285514",1024,1,24,7,1615.09237286663
"21285515",1024,1,25,7,1615.52243370291
"21285516",1024,1,26,7,1615.99594122754
"21285517",1024,1,27,7,1616.51248039437
"21285518",1024,1,28,7,1617.07000454881
"21285519",1024,1,29,7,1617.66489076255
"21285520",1024,1,30,7,1618.29206506806
"21285521",1024,1,31,7,1618.94518554234
"21285522",1024,1,32,7,1619.61686868266
"21285523",1024,1,33,7,1620.2989436478
"21285524",1024,1,34,7,1620.9827195054
"21285525",1024,1,35,7,1621.65925224628
"21285526",1024,1,36,7,1622.31960054346
"21285527",1024,1,37,7,1622.95506162464
"21285528",1024,1,38,7,1623.55738087799
"21285529",1024,1,39,7,1624.11893074417
"21285530",1024,1,40,7,1624.63285601581
"21285531",1024,1,41,7,1625.09318392491
"21285532",1024,1,42,7,1625.49489845902
"21285533",1024,1,43,7,1625.83397934029
"21285534",1024,1,44,7,1626.10740713748
"21285535",1024,1,45,7,1626.31313712396
"21285536",1024,1,46,7,1626.45004574572
"21285537",1024,1,47,7,1626.51785485242
"21285538",1024,1,48,7,1626.51704003102
"21285539",1024,1,49,7,1626.44873028013
"21285540",1024,1,50,7,1626.31460666398
"21285541",1024,1,51,7,1626.11680731205
"21285542",1024,1,1,8,1604.65865978972
"21285543",1024,1,2,8,1604.90076722267
"21285544",1024,1,3,8,1605.16843583986
"21285545",1024,1,4,8,1605.45737428486
"21285546",1024,1,5,8,1605.76280023669
"21285547",1024,1,6,8,1606.07964369403
"21285548",1024,1,7,8,1606.40278351225
"21285549",1024,1,8,8,1606.72730789277
"21285550",1024,1,9,8,1607.04878639871
"21285551",1024,1,10,8,1607.36353814952
"21285552",1024,1,11,8,1607.66887872355
"21285553",1024,1,12,8,1607.96332753369
"21285554",1024,1,13,8,1608.24675841981
"21285555",1024,1,14,8,1608.52047901004
"21285556",1024,1,15,8,1608.78722880588
"21285557",1024,1,16,8,1609.05109144151
"21285558",1024,1,17,8,1609.31732253717
"21285559",1024,1,18,8,1609.59210041493
"21285560",1024,1,19,8,1609.88221222191
"21285561",1024,1,20,8,1610.194692423
"21285562",1024,1,21,8,1610.53643401039
"21285563",1024,1,22,8,1610.91379498654
"21285564",1024,1,23,8,1611.33222352935
"21285565",1024,1,24,8,1611.79592452697
"21285566",1024,1,25,8,1612.30758769839
"21285567",1024,1,26,8,1612.86819328065
"21285568",1024,1,27,8,1613.476905519
"21285569",1024,1,28,8,1614.1310575036
"21285570",1024,1,29,8,1614.82622404819
"21285571",1024,1,30,8,1615.55637316838
"21285572",1024,1,31,8,1616.31408202288
"21285573",1024,1,32,8,1617.09080036975
"21285574",1024,1,33,8,1617.87714372987
"21285575",1024,1,34,8,1618.66319927178
"21285576",1024,1,35,8,1619.43882944648
