"","C11","C12","C22","C16","C26","C66","norm_density","Label"
"188",0.23224155,0.12029713,0.23224155,0,0,0.06617864,0.6,"B"
"189",0.23820133,0.12824062,0.23820133,0,0,0.06770172,0.666666666666667,"B"
"190",0.23765578,0.12745441,0.23765578,0,0,0.06702455,0.6,"B"
"191",0.23227969,0.12009343,0.23227969,0,0,0.06543673,0.6,"B"
"192",0.23041856,0.11685775,0.23041856,0,0,0.06538286,0.533333333333333,"C"
"193",0.51149948,0.41110708,0.51149948,0,0,0.53060004,0.866666666666667,"A"
"194",0.49108676,0.36979422,0.49108676,0,0,0.35666358,0.8,"A"
"195",0.45278342,0.30884073,0.45278342,0,0,0.30688601,0.8,"A"
"196",0.42467,0.26014364,0.42467,0,0,0.15167551,0.733333333333333,"B"
"197",0.46518577,0.33485571,0.46518577,0,0,0.41658837,0.8,"A"
"198",0.44959714,0.30642331,0.44959714,0,0,0.31106961,0.733333333333333,"B"
"199",0.41474024,0.24745005,0.41474024,0,0,0.09974424,0.733333333333333,"B"
"200",0.41233765,0.2430852,0.41233765,0,0,0.09798025,0.666666666666667,"B"
"201",0.42596489,0.38190893,0.42596489,0,0,0.47128315,0.8,"A"
"202",0.3949112,0.32389776,0.3949112,0,0,0.20503291,0.733333333333333,"B"
"203",0.29921335,0.21324865,0.29921335,0,0,0.25886505,0.733333333333333,"B"
"204",0.23008643,0.11578138,0.23008643,0,0,0.06598361,0.666666666666667,"B"
"205",0.34675942,0.2773097,0.34675942,0,0,0.35674669,0.733333333333333,"B"
"206",0.32759947,0.23933075,0.32759947,0,0,0.15158041,0.666666666666667,"B"
"207",0.22892534,0.1182997,0.22892534,0,0,0.06925664,0.666666666666667,"B"
"208",0.22601229,0.11407848,0.22601229,0,0,0.06588388,0.6,"B"
"209",0.31425161,0.22349194,0.31425161,0,0,0.27607718,0.8,"A"
"210",0.3089473,0.21296205,0.3089473,0,0,0.17624138,0.733333333333333,"B"
"211",0.28895109,0.19011268,0.28895109,0,0,0.20429332,0.733333333333333,"B"
"212",0.26590086,0.14422065,0.26590086,0,0,0.0694044,0.666666666666667,"B"
"213",0.23392594,0.12998511,0.23392594,0,0,0.08870151,0.733333333333333,"B"
"214",0.23322404,0.12891385,0.23322404,0,0,0.08644028,0.666666666666667,"B"
"215",0.22729356,0.11849651,0.22729356,0,0,0.06475767,0.666666666666667,"B"
"216",0.22498508,0.11466082,0.22498508,0,0,0.06429646,0.6,"B"
"217",0.30533261,0.21372525,0.30533261,0,0,0.26426979,0.733333333333333,"B"
"218",0.29891025,0.20408526,0.29891025,0,0,0.15885593,0.666666666666667,"B"
"219",0.26168673,0.19092271,0.26168673,0,0,0.19700661,0.666666666666667,"B"
"220",0.2229118,0.1135968,0.2229118,0,0,0.06477345,0.6,"B"
"221",0.22604737,0.120632,0.22604737,0,0,0.06953467,0.666666666666667,"B"
"222",0.22570854,0.11994462,0.22570854,0,0,0.06825993,0.6,"B"
"223",0.22182621,0.11269916,0.22182621,0,0,0.06431237,0.6,"B"
"224",0.22029336,0.10965884,0.22029336,0,0,0.06374453,0.533333333333333,"C"
"225",0.38414648,0.3026657,0.38414648,0,0,0.41238613,0.8,"A"
"226",0.37506281,0.28499398,0.37506281,0,0,0.30427191,0.733333333333333,"B"
"227",0.35806891,0.25796373,0.35806891,0,0,0.27152121,0.733333333333333,"B"
"228",0.34172764,0.23332732,0.34172764,0,0,0.13948279,0.666666666666667,"B"
"229",0.36255395,0.2784069,0.36255395,0,0,0.35748913,0.733333333333333,"B"
"230",0.3509004,0.26015986,0.3509004,0,0,0.27553907,0.666666666666667,"B"
"231",0.32669022,0.21831241,0.32669022,0,0,0.08475063,0.666666666666667,"B"
"232",0.32461367,0.21472058,0.32461367,0,0,0.082612,0.6,"B"
"233",0.34441509,0.27111871,0.34441509,0,0,0.35819388,0.733333333333333,"B"
"234",0.33091169,0.24493211,0.33091169,0,0,0.18695358,0.666666666666667,"B"
"235",0.28059747,0.18798031,0.28059747,0,0,0.22423045,0.666666666666667,"B"
"236",0.22840665,0.11395944,0.22840665,0,0,0.06406528,0.6,"B"
"237",0.31062751,0.24119069,0.31062751,0,0,0.31025356,0.666666666666667,"B"
