Geometry,C11,C12,C22,C16,C26,C66,
000000000011101,0.40521006,0.27210344,0.40521006,0.00000000,0.00000000,0.24207623,
000000000011110,0.39775582,0.26100791,0.39775582,0.00000000,0.00000000,0.23740097,
000000000011111,0.39544314,0.25661686,0.39544314,0.00000000,0.00000000,0.23691052,
000000000100000,0.87035632,0.82440482,0.87035632,0.00000000,0.00000000,0.87434834,
000000000100001,0.75111537,0.68729833,0.75111537,0.00000000,0.00000000,0.79174580,
000000000100010,0.62732778,0.55117729,0.62732778,0.00000000,0.00000000,0.66980238,
000000000100011,0.56650391,0.48393988,0.56650391,0.00000000,0.00000000,0.59302276,
000000000100100,0.74254886,0.67033126,0.74254886,0.00000000,0.00000000,0.76607437,
000000000100101,0.59029983,0.51624811,0.59029983,0.00000000,0.00000000,0.67462215,
000000000100110,0.48285467,0.35268127,0.48285467,0.00000000,0.00000000,0.39383076,
000000000100111,0.47744149,0.34459024,0.47744149,0.00000000,0.00000000,0.39334130,
000000000101000,0.65187377,0.53177906,0.65187377,0.00000000,0.00000000,0.57678374,
000000000101001,0.60964399,0.46640954,0.60964399,0.00000000,0.00000000,0.41838380,
000000000101010,0.49071680,0.37706684,0.49071680,0.00000000,0.00000000,0.43393184,
000000000101011,0.40790746,0.27550186,0.40790746,0.00000000,0.00000000,0.32689475,
000000000101100,0.52762803,0.42339438,0.52762803,0.00000000,0.00000000,0.53300390,
000000000101101,0.49283513,0.38534445,0.49283513,0.00000000,0.00000000,0.37913377,
000000000101110,0.40267744,0.26913469,0.40267744,0.00000000,0.00000000,0.30712509,
000000000101111,0.39918712,0.26264037,0.39918712,0.00000000,0.00000000,0.30574261,
000000000110000,0.63679405,0.52132205,0.63679405,0.00000000,0.00000000,0.58953933,
000000000110001,0.55165617,0.47182428,0.55165617,0.00000000,0.00000000,0.57606840,
000000000110010,0.45352454,0.33087229,0.45352454,0.00000000,0.00000000,0.44157214,
000000000110011,0.42747507,0.32705448,0.42747507,0.00000000,0.00000000,0.39893545,
000000000110100,0.60159877,0.46547035,0.60159877,0.00000000,0.00000000,0.47898957,
000000000110101,0.47551206,0.36891755,0.47551206,0.00000000,0.00000000,0.45282486,
000000000110110,0.37285402,0.21380908,0.37285402,0.00000000,0.00000000,0.15716241,
000000000110111,0.36839662,0.20870954,0.36839662,0.00000000,0.00000000,0.15692529,
000000000111000,0.37315899,0.21665097,0.37315899,0.00000000,0.00000000,0.15331395,
000000000111001,0.37252017,0.21572220,0.37252017,0.00000000,0.00000000,0.15290056,
000000000111010,0.36427149,0.20747430,0.36427149,0.00000000,0.00000000,0.15229096,
000000000111011,0.36028191,0.20081139,0.36028191,0.00000000,0.00000000,0.14826426,
000000000111100,0.36736023,0.21100558,0.36736023,0.00000000,0.00000000,0.15238825,
000000000111101,0.36667548,0.20998805,0.36667548,0.00000000,0.00000000,0.15057165,
000000000111110,0.36022575,0.20079106,0.36022575,0.00000000,0.00000000,0.14814528,
000000000111111,0.35810613,0.19708132,0.35810613,0.00000000,0.00000000,0.14791368,
